[01.12.2016 12:12:52,146] [main] INFO  CostEstimationFitness  - i: 176; j: 15
[01.12.2016 12:12:52,147] [main] INFO  CostEstimationFitness  - i: 177; j: 1
[01.12.2016 12:12:52,147] [main] INFO  CostEstimationFitness  - i: 177; j: 2
[01.12.2016 12:12:52,147] [main] INFO  CostEstimationFitness  - i: 177; j: 3
[01.12.2016 12:12:52,147] [main] INFO  CostEstimationFitness  - i: 177; j: 4
[01.12.2016 12:12:52,147] [main] INFO  CostEstimationFitness  - i: 177; j: 5
[01.12.2016 12:12:52,147] [main] INFO  CostEstimationFitness  - i: 177; j: 6
[01.12.2016 12:12:52,147] [main] INFO  CostEstimationFitness  - i: 177; j: 7
[01.12.2016 12:12:52,148] [main] INFO  CostEstimationFitness  - i: 177; j: 8
[01.12.2016 12:12:52,148] [main] INFO  CostEstimationFitness  - i: 177; j: 9
[01.12.2016 12:12:52,148] [main] INFO  CostEstimationFitness  - i: 177; j: 10
[01.12.2016 12:12:52,148] [main] INFO  CostEstimationFitness  - i: 177; j: 11
[01.12.2016 12:12:52,148] [main] INFO  CostEstimationFitness  - i: 177; j: 12
[01.12.2016 12:12:52,148] [main] INFO  CostEstimationFitness  - i: 177; j: 13
[01.12.2016 12:12:52,148] [main] INFO  CostEstimationFitness  - i: 177; j: 14
[01.12.2016 12:12:52,148] [main] INFO  CostEstimationFitness  - i: 177; j: 15
[01.12.2016 12:12:52,148] [main] INFO  CostEstimationFitness  - i: 178; j: 1
[01.12.2016 12:12:52,148] [main] INFO  CostEstimationFitness  - i: 178; j: 2
[01.12.2016 12:12:52,148] [main] INFO  CostEstimationFitness  - i: 178; j: 3
[01.12.2016 12:12:52,148] [main] INFO  CostEstimationFitness  - i: 178; j: 4
[01.12.2016 12:12:52,148] [main] INFO  CostEstimationFitness  - i: 178; j: 5
[01.12.2016 12:12:52,148] [main] INFO  CostEstimationFitness  - i: 178; j: 6
[01.12.2016 12:12:52,148] [main] INFO  CostEstimationFitness  - i: 178; j: 7
[01.12.2016 12:12:52,148] [main] INFO  CostEstimationFitness  - i: 178; j: 8
[01.12.2016 12:12:52,148] [main] INFO  CostEstimationFitness  - i: 178; j: 9
[01.12.2016 12:12:52,149] [main] INFO  CostEstimationFitness  - i: 178; j: 10
[01.12.2016 12:12:52,149] [main] INFO  CostEstimationFitness  - i: 178; j: 11
[01.12.2016 12:12:52,149] [main] INFO  CostEstimationFitness  - i: 178; j: 12
[01.12.2016 12:12:52,149] [main] INFO  CostEstimationFitness  - i: 178; j: 13
[01.12.2016 12:12:52,149] [main] INFO  CostEstimationFitness  - i: 178; j: 14
[01.12.2016 12:12:52,149] [main] INFO  CostEstimationFitness  - i: 178; j: 15
[01.12.2016 12:12:52,149] [main] INFO  CostEstimationFitness  - i: 179; j: 1
[01.12.2016 12:12:52,149] [main] INFO  CostEstimationFitness  - i: 179; j: 2
[01.12.2016 12:12:52,149] [main] INFO  CostEstimationFitness  - i: 179; j: 3
[01.12.2016 12:12:52,149] [main] INFO  CostEstimationFitness  - i: 179; j: 4
[01.12.2016 12:12:52,149] [main] INFO  CostEstimationFitness  - i: 179; j: 5
[01.12.2016 12:12:52,149] [main] INFO  CostEstimationFitness  - i: 179; j: 6
[01.12.2016 12:12:52,149] [main] INFO  CostEstimationFitness  - i: 179; j: 7
[01.12.2016 12:12:52,149] [main] INFO  CostEstimationFitness  - i: 179; j: 8
[01.12.2016 12:12:52,149] [main] INFO  CostEstimationFitness  - i: 179; j: 9
[01.12.2016 12:12:52,149] [main] INFO  CostEstimationFitness  - i: 179; j: 10
[01.12.2016 12:12:52,149] [main] INFO  CostEstimationFitness  - i: 179; j: 11
[01.12.2016 12:12:52,150] [main] INFO  CostEstimationFitness  - i: 179; j: 12
[01.12.2016 12:12:52,150] [main] INFO  CostEstimationFitness  - i: 179; j: 13
[01.12.2016 12:12:52,150] [main] INFO  CostEstimationFitness  - i: 179; j: 14
[01.12.2016 12:12:52,150] [main] INFO  CostEstimationFitness  - i: 179; j: 15
[01.12.2016 12:12:52,150] [main] INFO  CostEstimationFitness  - i: 180; j: 1
[01.12.2016 12:12:52,150] [main] INFO  CostEstimationFitness  - i: 180; j: 2
[01.12.2016 12:12:52,150] [main] INFO  CostEstimationFitness  - i: 180; j: 3
[01.12.2016 12:12:52,150] [main] INFO  CostEstimationFitness  - i: 180; j: 4
[01.12.2016 12:12:52,150] [main] INFO  CostEstimationFitness  - i: 180; j: 5
[01.12.2016 12:12:52,150] [main] INFO  CostEstimationFitness  - i: 180; j: 6
[01.12.2016 12:12:52,150] [main] INFO  CostEstimationFitness  - i: 180; j: 7
[01.12.2016 12:12:52,150] [main] INFO  CostEstimationFitness  - i: 180; j: 8
[01.12.2016 12:12:52,150] [main] INFO  CostEstimationFitness  - i: 180; j: 9
[01.12.2016 12:12:52,150] [main] INFO  CostEstimationFitness  - i: 180; j: 10
[01.12.2016 12:12:52,150] [main] INFO  CostEstimationFitness  - i: 180; j: 11
[01.12.2016 12:12:52,151] [main] INFO  CostEstimationFitness  - i: 180; j: 12
[01.12.2016 12:12:52,151] [main] INFO  CostEstimationFitness  - i: 180; j: 13
[01.12.2016 12:12:52,151] [main] INFO  CostEstimationFitness  - i: 180; j: 14
[01.12.2016 12:12:52,151] [main] INFO  CostEstimationFitness  - i: 180; j: 15
[01.12.2016 12:12:52,151] [main] INFO  CostEstimationFitness  - i: 181; j: 1
[01.12.2016 12:12:52,151] [main] INFO  CostEstimationFitness  - i: 181; j: 2
[01.12.2016 12:12:52,151] [main] INFO  CostEstimationFitness  - i: 181; j: 3
[01.12.2016 12:12:52,151] [main] INFO  CostEstimationFitness  - i: 181; j: 4
[01.12.2016 12:12:52,151] [main] INFO  CostEstimationFitness  - i: 181; j: 5
[01.12.2016 12:12:52,151] [main] INFO  CostEstimationFitness  - i: 181; j: 6
[01.12.2016 12:12:52,151] [main] INFO  CostEstimationFitness  - i: 181; j: 7
[01.12.2016 12:12:52,151] [main] INFO  CostEstimationFitness  - i: 181; j: 8
[01.12.2016 12:12:52,151] [main] INFO  CostEstimationFitness  - i: 181; j: 9
[01.12.2016 12:12:52,151] [main] INFO  CostEstimationFitness  - i: 181; j: 10
[01.12.2016 12:12:52,151] [main] INFO  CostEstimationFitness  - i: 181; j: 11
[01.12.2016 12:12:52,151] [main] INFO  CostEstimationFitness  - i: 181; j: 12
[01.12.2016 12:12:52,151] [main] INFO  CostEstimationFitness  - i: 181; j: 13
[01.12.2016 12:12:52,151] [main] INFO  CostEstimationFitness  - i: 181; j: 14
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 181; j: 15
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 182; j: 1
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 182; j: 2
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 182; j: 3
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 182; j: 4
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 182; j: 5
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 182; j: 6
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 182; j: 7
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 182; j: 8
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 182; j: 9
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 182; j: 10
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 182; j: 11
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 182; j: 12
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 182; j: 13
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 182; j: 14
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 182; j: 15
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 183; j: 1
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 183; j: 2
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 183; j: 3
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 183; j: 4
[01.12.2016 12:12:52,152] [main] INFO  CostEstimationFitness  - i: 183; j: 5
[01.12.2016 12:12:52,153] [main] INFO  CostEstimationFitness  - i: 183; j: 6
[01.12.2016 12:12:52,153] [main] INFO  CostEstimationFitness  - i: 183; j: 7
[01.12.2016 12:12:52,153] [main] INFO  CostEstimationFitness  - i: 183; j: 8
[01.12.2016 12:12:52,153] [main] INFO  CostEstimationFitness  - i: 183; j: 9
[01.12.2016 12:12:52,153] [main] INFO  CostEstimationFitness  - i: 183; j: 10
[01.12.2016 12:12:52,153] [main] INFO  CostEstimationFitness  - i: 183; j: 11
[01.12.2016 12:12:52,153] [main] INFO  CostEstimationFitness  - i: 183; j: 12
[01.12.2016 12:12:52,153] [main] INFO  CostEstimationFitness  - i: 183; j: 13
